State,Dealer Card,Usable Ace,Action
12,1,0,hit
12,1,1,hit
12,2,0,hit
12,2,1,hit
12,3,0,hit
12,3,1,hit
12,4,0,hit
12,4,1,hit
12,5,0,hit
12,5,1,hit
12,6,0,hit
12,6,1,hit
12,7,0,hit
12,7,1,hit
12,8,0,hit
12,8,1,hit
12,9,0,hit
12,9,1,hit
12,10,0,hit
12,10,1,hit
13,1,0,hit
13,1,1,hit
13,2,0,hit
13,2,1,hit
13,3,0,hit
13,3,1,hit
13,4,0,hit
13,4,1,hit
13,5,0,hit
13,5,1,hit
13,6,0,hit
13,6,1,hit
13,7,0,hit
13,7,1,hit
13,8,0,hit
13,8,1,hit
13,9,0,hit
13,9,1,hit
13,10,0,hit
13,10,1,hit
14,1,0,hit
14,1,1,hit
14,2,0,stand
14,2,1,hit
14,3,0,hit
14,3,1,hit
14,4,0,hit
14,4,1,hit
14,5,0,hit
14,5,1,hit
14,6,0,hit
14,6,1,hit
14,7,0,hit
14,7,1,hit
14,8,0,hit
14,8,1,hit
14,9,0,hit
14,9,1,hit
14,10,0,hit
14,10,1,hit
15,1,0,hit
15,1,1,hit
15,2,0,stand
15,2,1,hit
15,3,0,stand
15,3,1,hit
15,4,0,hit
15,4,1,hit
15,5,0,hit
15,5,1,hit
15,6,0,hit
15,6,1,hit
15,7,0,hit
15,7,1,hit
15,8,0,hit
15,8,1,hit
15,9,0,hit
15,9,1,hit
15,10,0,hit
15,10,1,hit
16,1,0,hit
16,1,1,hit
16,2,0,stand
16,2,1,hit
16,3,0,stand
16,3,1,hit
16,4,0,stand
16,4,1,hit
16,5,0,hit
16,5,1,hit
16,6,0,hit
16,6,1,hit
16,7,0,hit
16,7,1,hit
16,8,0,hit
16,8,1,hit
16,9,0,hit
16,9,1,hit
16,10,0,hit
16,10,1,hit
17,1,0,stand
17,1,1,hit
17,2,0,stand
17,2,1,hit
17,3,0,stand
17,3,1,hit
17,4,0,stand
17,4,1,hit
17,5,0,stand
17,5,1,hit
17,6,0,stand
17,6,1,hit
17,7,0,stand
17,7,1,hit
17,8,0,stand
17,8,1,hit
17,9,0,stand
17,9,1,hit
17,10,0,stand
17,10,1,hit
18,1,0,stand
18,1,1,hit
18,2,0,stand
18,2,1,stand
18,3,0,stand
18,3,1,stand
18,4,0,stand
18,4,1,stand
18,5,0,stand
18,5,1,stand
18,6,0,stand
18,6,1,stand
18,7,0,stand
18,7,1,stand
18,8,0,stand
18,8,1,stand
18,9,0,stand
18,9,1,hit
18,10,0,stand
18,10,1,hit
19,1,0,stand
19,1,1,stand
19,2,0,stand
19,2,1,stand
19,3,0,stand
19,3,1,stand
19,4,0,stand
19,4,1,stand
19,5,0,stand
19,5,1,stand
19,6,0,stand
19,6,1,stand
19,7,0,stand
19,7,1,stand
19,8,0,stand
19,8,1,stand
19,9,0,stand
19,9,1,stand
19,10,0,stand
19,10,1,stand
20,1,0,stand
20,1,1,stand
20,2,0,stand
20,2,1,stand
20,3,0,stand
20,3,1,stand
20,4,0,stand
20,4,1,stand
20,5,0,stand
20,5,1,stand
20,6,0,stand
20,6,1,stand
20,7,0,stand
20,7,1,stand
20,8,0,stand
20,8,1,stand
20,9,0,stand
20,9,1,stand
20,10,0,stand
20,10,1,stand
21,1,0,stand
21,1,1,stand
21,2,0,stand
21,2,1,stand
21,3,0,stand
21,3,1,stand
21,4,0,stand
21,4,1,stand
21,5,0,stand
21,5,1,stand
21,6,0,stand
21,6,1,stand
21,7,0,stand
21,7,1,stand
21,8,0,stand
21,8,1,stand
21,9,0,stand
21,9,1,stand
21,10,0,stand
21,10,1,stand
